sourceId,name,group,decision,use,selected,catalogueDocuments,importType,sampleEndpoint,sampled,probeStatuses,observedFamilies,observedRegionalRecords,licence,licenceClass,terms,notes,catalogueUrl,originUrl
"K6z97TJMt47eb8n4K","Orte von Langen barrierefrei","venue survey / place guide","hold / unavailable","Existing places plus explicit practical facts; no broad suitability inference","false","0","placeInfos","","0","place-infos:200; equipment-infos:200; disruptions:404","[]","{}","CC-BY 4.0 International","CCBY","catalogue marks reusable; verify source terms","[""No rows from place/equipment probes; not proof of no upstream data""]","https://www.accessibility.cloud/sources/K6z97TJMt47eb8n4K",""
"ktcpjkz9nAHW7rK83","Aufzüge von Langen barrierefrei","equipment / status","hold / unavailable","Context for explicitly linked station or venue; later phase","false","0","equipmentInfos","","0","equipment-infos:200; place-infos:200; disruptions:404","[]","{}","CC-BY 4.0 International","CCBY","catalogue marks reusable; verify source terms","[""No rows from place/equipment probes; not proof of no upstream data""]","https://www.accessibility.cloud/sources/ktcpjkz9nAHW7rK83",""
"sAhF3tjgphjWM4Mtg","Norwegian Parking Places","parking","future region / capability","Nearby designated parking; no live vacancy claim","false","463","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Norwegian Licence for Open Government Data (NLOD)","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/sAhF3tjgphjWM4Mtg",""
"LnmJGWXfxwbdDDi2u","Norwegian Bathing Ramps","outdoor places / amenities","future region / capability","Outing destinations or nearby amenities; region-specific","false","98","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Norwegian Licence for Open Government Data (NLOD)","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/LnmJGWXfxwbdDDi2u",""
"P6eAEqB5ERwWNNqhp","Norwegian Outdoor Cabins","outdoor places / amenities","future region / capability","Outing destinations or nearby amenities; region-specific","false","22","placeInfos","place-infos","3","place-infos:200","[]","{}","Norwegian Licence for Open Government Data (NLOD)","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/P6eAEqB5ERwWNNqhp",""
"ucuGtwhFa4gbWopH4","Norwegian Fishing Places","outdoor places / amenities","future region / capability","Outing destinations or nearby amenities; region-specific","false","549","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Norwegian Licence for Open Government Data (NLOD)","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/ucuGtwhFa4gbWopH4",""
"uwscLWLH2FyyXDDf3","Norwegian Cities Parking Places","parking","future region / capability","Nearby designated parking; no live vacancy claim","false","5992","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Norwegian Licence for Open Government Data (NLOD)","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/uwscLWLH2FyyXDDf3",""
"SZC28Pv3gYRohdmSt","Norwegian Public Toilets","public toilets","future region / capability","Nearby toilet and any explicit access/payment facts","false","811","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Norwegian Licence for Open Government Data (NLOD)","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/SZC28Pv3gYRohdmSt",""
"arJbYmDPMtK5XtHzt","Norwegian Building Entrances","venue survey / place guide","future region / capability","Existing places plus explicit practical facts; no broad suitability inference","false","9666","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Norwegian Licence for Open Government Data (NLOD)","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/arJbYmDPMtK5XtHzt",""
"WxikXc2QdGx22o8io","Norwegian Public Benches","outdoor places / amenities","future region / capability","Outing destinations or nearby amenities; region-specific","false","1452","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Norwegian Licence for Open Government Data (NLOD)","CCBY","catalogue marks reusable; verify source terms","[""Sample category is park; source title alone does not establish usable seating""]","https://www.accessibility.cloud/sources/WxikXc2QdGx22o8io",""
"5km2SLdXqfZwrZgDB","Norwegian Outdoor Benches","outdoor places / amenities","future region / capability","Outing destinations or nearby amenities; region-specific","false","3243","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Norwegian Licence for Open Government Data (NLOD)","CCBY","catalogue marks reusable; verify source terms","[""Sample category is park; source title alone does not establish usable seating""]","https://www.accessibility.cloud/sources/5km2SLdXqfZwrZgDB",""
"xvJQAJiu28wG8THaH","Norwegian BBQ places","outdoor places / amenities","future region / capability","Outing destinations or nearby amenities; region-specific","false","648","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Norwegian Licence for Open Government Data (NLOD)","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/xvJQAJiu28wG8THaH",""
"erfctmkM6wv4L9ita","Norwegian Gapahuk Cabins","outdoor places / amenities","future region / capability","Outing destinations or nearby amenities; region-specific","false","258","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Norwegian Licence for Open Government Data (NLOD)","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/erfctmkM6wv4L9ita",""
"wiEXXjhbrbS5eW4e4","Places in Starnberg","venue survey / place guide","hold / unavailable","Existing places plus explicit practical facts; no broad suitability inference","false","0","","","0","place-infos:200; equipment-infos:200; disruptions:404","[]","{}","Creative Commons Attribution License (cc-by)","CCBY","catalogue marks reusable; verify source terms","[""No rows from place/equipment probes; not proof of no upstream data""]","https://www.accessibility.cloud/sources/wiEXXjhbrbS5eW4e4",""
"HBXeYJxqxijXq6CSy","Starnberg Place Survey","venue survey / place guide","future region / capability","Existing places plus explicit practical facts; no broad suitability inference","false","31","placeInfos","place-infos","3","place-infos:200","[""entrances"",""toilet detail"",""access summary""]","{}","Creative Commons Attribution 4.0 International Public License","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/HBXeYJxqxijXq6CSy",""
"tGzD9DzEswmtnBuq2","GM SH Aufzüge","equipment / status","later / arrival context","Context for explicitly linked station or venue; later phase","false","4","equipmentInfos","equipment-infos","3","equipment-infos:200","[""equipment status""]","{}","CC-BY 4.0 International","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/tGzD9DzEswmtnBuq2",""
"WsbmSk2ujen5daLry","Schleswig Holstein GMSH","venue survey / place guide","future region / capability","Existing places plus explicit practical facts; no broad suitability inference","false","0","placeInfos","place-infos","2","place-infos:200","[""entrances"",""access summary""]","{}","Creative Commons Attribution 4.0 International Public License","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/WsbmSk2ujen5daLry",""
"Q867R8vjqg9wEJ3SW","Toiletten für alle","specialist support","review terms","Only when a stated condition needs it","false","167","images","place-infos","3","place-infos:200","[""access summary"",""website""]","{}","© All rights reserved","restricted","permission / terms review","[]","https://www.accessibility.cloud/sources/Q867R8vjqg9wEJ3SW","https://www.toiletten-fuer-alle.de/"
"55HNke5PmDcYn7bKz","Behindertenparkplaetze Stadt Salzburg","parking","future region / capability","Nearby designated parking; no live vacancy claim","false","309","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Creative Commons Namensnennung 3.0 Österreich","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/55HNke5PmDcYn7bKz",""
"6LHxeyQAhHuyhA9Ke","Aufzüge der Stationen der Stadt Wien","equipment / status","later / arrival context","Context for explicitly linked station or venue; later phase","false","919","placeInfos","place-infos","3","equipment-infos:200; place-infos:200","[""access summary""]","{}","Creative Commons Namensnennung 3.0 Österreich","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/6LHxeyQAhHuyhA9Ke",""
"XWATLf3NA778iPJTp","Berlin Behindertenparkplätze","parking","review terms","Nearby designated parking; no live vacancy claim","true","1344","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{""berlin-mitte"":12}","Data licence Germany - Zero - Version 2.0","CC0","conflicting metadata; resolve attribution","[""Licence says Zero; source description says attribution (BY)""]","https://www.accessibility.cloud/sources/XWATLf3NA778iPJTp","https://fbinter.stadt-berlin.de/fb?loginkey=showMap&mapId=k_bparkplatz@senstadt"
"zFpoqetHjgGbmyHnR","Ginto.Guide","venue survey / place guide","consider for current regions","Existing places plus explicit practical facts; no broad suitability inference","true","4379","placeInfos","place-infos","3","place-infos:200","[""access summary"",""website""]","{""berlin-mitte"":1}","ODbL v1.0","CCSA","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/zFpoqetHjgGbmyHnR","https://www.ginto.guide/"
"ZgrxE24pTiDfv7J5P","Public toilets in Berlin","public toilets","consider for current regions","Nearby toilet and any explicit access/payment facts","true","258","placeInfos","place-infos","3","place-infos:200","[""access summary"",""payment detail""]","{""berlin-mitte"":13}","Namensnennung 3.0 Deutschland (CC BY 3.0 DE)","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/ZgrxE24pTiDfv7J5P","https://www.berlin.de/sen/uvk/verkehr/infrastruktur/oeffentliche-toiletten/download/"
"sHeyuep6ezZCd9Bn5","Südtirol für alle","regional destination guide","review terms","Place identity and scoped access facts; mostly future regions","false","855","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","© All rights reserved","restricted","permission / terms review","[]","https://www.accessibility.cloud/sources/sHeyuep6ezZCd9Bn5","https://www.altoadigepertutti.it/"
"stEnnLY25JNhNA5YN","Leipziger Messe Places","venue survey / place guide","future region / capability","Existing places plus explicit practical facts; no broad suitability inference","false","3","placeInfos","place-infos","3","place-infos:200","[""entrances"",""access summary"",""website""]","{}","CC-BY 4.0 International","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/stEnnLY25JNhNA5YN","https://www.leipziger-messe.de"
"oHeidAeqG39Rakt2c","Leipziger Messe Facilities","equipment / status","later / arrival context","Context for explicitly linked station or venue; later phase","false","3","equipmentInfos","equipment-infos","3","equipment-infos:200","[""equipment status""]","{}","CC-BY 4.0 International","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/oHeidAeqG39Rakt2c","https://www.leipziger-messe.de"
"rsanCCQLE8yq26CZ6","Reisen für Alle","regional destination guide","review terms","Place identity and scoped access facts; mostly future regions","false","1823","placeInfos","place-infos","3","place-infos:200","[""entrances"",""toilet detail"",""access summary"",""hearing/media support"",""website""]","{}","© Deutsches Seminar für Tourismus (DSFT) Berlin e. V.","restricted","permission / terms review","[]","https://www.accessibility.cloud/sources/rsanCCQLE8yq26CZ6","https://www.reisen-fuer-alle.de"
"bWaRzazK7tEq2hcGA","Behindertenparkplätze Fhain Kberg","parking","consider for current regions","Nearby designated parking; no live vacancy claim","true","89","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{""berlin-mitte"":10}","Namensnennung 3.0 Deutschland (CC BY 3.0 DE)","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/bWaRzazK7tEq2hcGA",""
"QxyZ7vAMS695Bhvii","Strut","regional destination guide","review terms","Place identity and scoped access facts; mostly future regions","false","32203","placeInfos","place-infos","3","place-infos:200","[""entrances"",""access summary""]","{}","© Canadian Abilities Foundation","restricted","permission / terms review","[]","https://www.accessibility.cloud/sources/QxyZ7vAMS695Bhvii","https://www.strutcanada.com/"
"kLmSomNZnXTBH2W7v","KONE Buildings","venue survey / place guide","review terms","Existing places plus explicit practical facts; no broad suitability inference","false","3","placeInfos","place-infos","1","place-infos:200","[""website""]","{}","© Kone Terms and Conditions","restricted","permission / terms review","[]","https://www.accessibility.cloud/sources/kLmSomNZnXTBH2W7v",""
"xm6XdcZiP6bgy6Cjf","Kone Elevators","equipment / status","review terms","Context for explicitly linked station or venue; later phase","false","1","equipmentInfos","equipment-infos","1","equipment-infos:200","[""equipment status""]","{}","© Kone Terms and Conditions","restricted","permission / terms review","[]","https://www.accessibility.cloud/sources/xm6XdcZiP6bgy6Cjf",""
"zhL6MnyfRepEzHByx","ACE-Clubinitiative","venue survey / place guide","consider for current regions","Existing places plus explicit practical facts; no broad suitability inference","false","411","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{""berlin-mitte"":1}","Open Data Commons Open Database License","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/zhL6MnyfRepEzHByx","https://www.ace.de/"
"Piy5sjn7eSG5ie3Ma","Blue Badge Parking","parking","review terms","Nearby designated parking; no live vacancy claim","false","6690","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Blue Badge Parking","restricted","permission / terms review","[]","https://www.accessibility.cloud/sources/Piy5sjn7eSG5ie3Ma","https://bluebadgeparking.com"
"Qmn3bxmtE7bFrdqY4","Swimming pools - Brisbane City Council","venue survey / place guide","future region / capability","Existing places plus explicit practical facts; no broad suitability inference","false","22","","place-infos","3","place-infos:200","[""access summary""]","{}","Creative Commons Attribution 4.0 International Public License","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/Qmn3bxmtE7bFrdqY4","https://www.data.brisbane.qld.gov.au/data/dataset/swimming-pools/resource/c09546c8-9526-4358-a1eb-81dbb224cdca?view_id=c8e8a95a-b7a7-423c-b28a-f8239b9eff32"
"dvxYrDLdMv3tdiHck","San Francisco Disabled Parking","parking","refresh before relying on it","Nearby designated parking; no live vacancy claim","true","732","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{""sf-soma"":260}","ODC Public Domain Dedication and Licence","CC0","catalogue marks reusable; verify source terms","[""Description dates dataset to September 2011; refresh before relying on it""]","https://www.accessibility.cloud/sources/dvxYrDLdMv3tdiHck","https://data.sfgov.org/Transportation/Disabled-parking-spaces/76ec-bw8s/about"
"d4eXEsjFLPtn4yGEi","Accessible historical buildings in Flanders","regional destination guide","future region / capability","Place identity and scoped access facts; mostly future regions","false","12","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","GRATIS OPEN DATA LICENTIE v1.2","CCSA","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/d4eXEsjFLPtn4yGEi","http://data.visitflanders.org/accessibility/attractions/historical_buildings"
"BBQwnkLokb9xADdNK","Australian National Public Toilet Map","public toilets","future region / capability","Nearby toilet and any explicit access/payment facts","false","16756","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Open Database License","CCSA","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/BBQwnkLokb9xADdNK","http://www.civicdata.io/dataset/national-public-toilet-map-data/resource/8a7cc861-b49b-4506-872e-2153aff575c6"
"KAxoZRxfES47ohjW4","British Parking","parking","future region / capability","Nearby designated parking; no live vacancy claim","false","4652","","place-infos","3","place-infos:200","[""access summary""]","{}","Open Government Licence for public sector information UK v3.0","CCSA","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/KAxoZRxfES47ohjW4","https://data.gov.uk/dataset/car-parks-bpa/resource/2ca14bee-37b8-4420-b77e-77ed39c0ed2c"
"QFhBLeny7zhZs5TzE","Southern Grampians Disabled Parking","parking","future region / capability","Nearby designated parking; no live vacancy claim","false","29","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Creative Commons Attribution 3.0 Australia","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/QFhBLeny7zhZs5TzE","http://data.gov.au/dataset/southern-grampians-disabled-parking/resource/86121432-39b3-41bf-9f2c-c5a2a2e3cc6c"
"FXQ4NZTdausoXNJbm","Accessibility parking places  in France","parking","future region / capability","Nearby designated parking; no live vacancy claim","false","675","","place-infos","3","place-infos:200","[""access summary""]","{}","Open Database License","CCSA","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/FXQ4NZTdausoXNJbm","https://www.europeandataportal.eu/data/en/dataset/accessibilite-places-de-stationnement"
"5nYmGtWywwYasksqQ","Wheelmap Kobo Survey","venue survey / place guide","candidate / regional check","Existing places plus explicit practical facts; no broad suitability inference","false","7648","placeInfos","place-infos","3","place-infos:200","[""entrances"",""toilet detail"",""access summary"",""website""]","{}","ODbL v1.0","CCSA","catalogue marks reusable; verify source terms","[""Survey is not automatically an OSM mirror; check actual lineage""]","https://www.accessibility.cloud/sources/5nYmGtWywwYasksqQ","https://wheelmap.org"
"yFxbY6A8LgPxgRtBD","City of Melbourne, Australia, Buildings Accessibility","venue survey / place guide","future region / capability","Existing places plus explicit practical facts; no broad suitability inference","false","5693","placeInfos","place-infos","3","place-infos:200","[]","{}","CC-BY 4.0 International","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/yFxbY6A8LgPxgRtBD","https://data.melbourne.vic.gov.au/explore/dataset/buildings-with-name-age-size-accessibility-and-bicycle-facilities/information/?disjunctive.clue_small_area&disjunctive.number_of_floors_above_ground&disjunctive.predominant_space_use&disjunctive.accessibility_type&disjunctive.accessibility_type_description&disjunctive.accessibility_rating&disjunctive.block_id"
"QgAwyzRsQGBp76n92","Public toilets in Plymouth","public toilets","future region / capability","Nearby toilet and any explicit access/payment facts","false","","","place-infos","3","place-infos:200","[""access summary""]","{}","Open Government Licence for public sector information UK v3.0","CCSA","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/QgAwyzRsQGBp76n92","https://data.gov.uk/dataset/plymouth-public-toilets1/resource/b8797ac6-e2a0-4fed-a98b-726ae6dfd5bf"
"PgaYjWmGWrxBpEbyr","Odense Kommune -  Disabled Parking","parking","future region / capability","Nearby designated parking; no live vacancy claim","false","83","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Vilkår for brug af danske offentlige data  v1.0","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/PgaYjWmGWrxBpEbyr","http://portal.opendata.dk/dataset/parkering5b2ad/resource/e22310b4-8ac4-4b19-94f4-8690e13dee46"
"4PHKp247rmi7yaRZH","Odense Kommune - Toiletter","public toilets","future region / capability","Nearby toilet and any explicit access/payment facts","false","33","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Vilkår for brug af danske offentlige data  v1.0","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/4PHKp247rmi7yaRZH","http://portal.opendata.dk/dataset/handicap-toiletter"
"csJ982wGWz5WHYPts","Vozejkmap.cz","regional destination guide","future region / capability","Place identity and scoped access facts; mostly future regions","false","7239","placeInfos","place-infos","3","place-infos:200","[""entrances"",""toilet detail"",""access summary""]","{}","Creative Commons Attribution 4.0 International Public License","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/csJ982wGWz5WHYPts","http://www.vozejkmap.cz/opendata-informace"
"uCWkcqJoatN5SsGfh","Craven District Council - Public Toilet","public toilets","future region / capability","Nearby toilet and any explicit access/payment facts","false","11","","place-infos","3","place-infos:200","[""access summary""]","{}","Open Government Licence for public sector information UK v3.0","CCSA","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/uCWkcqJoatN5SsGfh","http://www.cravendc.gov.uk/article/4923/Public-toilets"
"xhrfD2D7H7mzjMeEC","Mid and East Antrim Borough Council Off Street Car Parks","parking","future region / capability","Nearby designated parking; no live vacancy claim","false","143","placeInfos","place-infos","3","place-infos:200","[""access summary"",""payment detail""]","{}","Open Government Licence for public sector information UK v3.0","CCSA","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/xhrfD2D7H7mzjMeEC","https://www.opendatani.gov.uk/dataset/mid-and-east-antrim-borough-council-off-street-car-parks#"
"eeqsThLommhZmgkG4","City of Port Phillip Accessible Parking","parking","future region / capability","Nearby designated parking; no live vacancy claim","false","402","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Attribution 2.5 Australia (CC BY 2.5 AU)","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/eeqsThLommhZmgkG4","https://data.gov.au/dataset/city-of-port-phillip-accessible-parking"
"2s8QZiNEtNsr3YgCe","Antrim and Newtownabbey Borough Council Car Parks","parking","future region / capability","Nearby designated parking; no live vacancy claim","false","11","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Open Government Licence for public sector information UK v3.0","CCSA","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/2s8QZiNEtNsr3YgCe","https://www.opendatani.gov.uk/dataset/anbc-car-parking/resource/edb0b0b6-a656-45d0-8c50-38e5b8e1dcff"
"EzQTyL2c7ixMwgnmQ","Disabled parking spaces in the City of Nottingham","parking","future region / capability","Nearby designated parking; no live vacancy claim","false","62","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","Open Government Licence for public sector information UK v3.0","CCSA","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/EzQTyL2c7ixMwgnmQ","http://www.opendatanottingham.org.uk/dataset.aspx?id=25"
"Zydk7ptZfKGzTaDaF","Blueflag.Global","outdoor places / amenities","review terms","Outing destinations or nearby amenities; region-specific","false","4531","placeInfos","place-infos","3","place-infos:200","[""access summary""]","{}","© All rights reserved","restricted","permission / terms review","[]","https://www.accessibility.cloud/sources/Zydk7ptZfKGzTaDaF","https://www.blueflag.global"
"Rf3E4jqTcyTQvGNcP","Travelable Booking.com Mapathon","venue survey / place guide","extend existing mapping","Existing places plus explicit practical facts; no broad suitability inference","true","323","placeInfos","place-infos","3","place-infos:200","[""Wi-Fi"",""quietness"",""entrances"",""toilet detail"",""access summary""]","{""berlin-mitte"":1}","Open Data Commons Open Database License","CCBY","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/Rf3E4jqTcyTQvGNcP",""
"pb6fBNtFbKn3fLPGN","Wheelmap place survey","venue survey / place guide","candidate / regional check","Existing places plus explicit practical facts; no broad suitability inference","false","6","","place-infos","3","place-infos:200","[""entrances"",""toilet detail"",""access summary""]","{}","Open Data Commons Open Database License","CCBY","catalogue marks reusable; verify source terms","[""Survey is not automatically an OSM mirror; check actual lineage""]","https://www.accessibility.cloud/sources/pb6fBNtFbKn3fLPGN","https://wheelmap.org"
"sPSreQtMg8Soy5TDr","Wheelmap Pro Demo Places","test / obsolete","skip","Keep out of ordinary place selection","false","83","placeInfos","place-infos","3","place-infos:200","[""entrances""]","{}","CC-BY 4.0 International","CCBY","catalogue marks reusable; verify source terms","[""Survey is not automatically an OSM mirror; check actual lineage""]","https://www.accessibility.cloud/sources/sPSreQtMg8Soy5TDr","https://demo.wheelmap.pro"
"v276kHvMWZkk4WFFA","Wheelmap Facility Survey","equipment / status","hold / unavailable","Context for explicitly linked station or venue; later phase","false","0","equipmentInfos","","0","equipment-infos:200; place-infos:200; disruptions:404","[]","{}","Open Data Commons Open Database License","CCBY","catalogue marks reusable; verify source terms","[""Survey is not automatically an OSM mirror; check actual lineage"",""No rows from place/equipment probes; not proof of no upstream data""]","https://www.accessibility.cloud/sources/v276kHvMWZkk4WFFA",""
"vp32burgzy4nThz6C","IncluScience (Live Survey)","specialist support","on demand only","Only when a stated condition needs it","false","284","placeInfos","place-infos","3","place-infos:200","[""entrances"",""access summary"",""hearing/media support"",""website""]","{""berlin-mitte"":1}","ODbL v1.0","CCSA","catalogue marks reusable; verify source terms","[]","https://www.accessibility.cloud/sources/vp32burgzy4nThz6C","https://incluscience.org"
